predictmonth,monthly_returns,cumulative_returns,bmk_monthly_returns,bmk_cumulative_returns
2018-01-01,0.02632835799422604,0.026328357994225948,0.06079362913529396,0.06079362913529396
2018-02-01,0.021909587647682752,0.04881478910900272,-0.05899576697303488,-0.0017887046156518371
2018-03-01,0.030949782075991146,0.08127537827000308,-0.03110119195554273,-0.03283426572559145
2018-04-01,0.0476693774495781,0.1328191024036911,-0.03632679235603431,-0.06796829452844932
2018-05-01,-0.0004662300403984634,0.13229094810781317,0.012111113477140556,-0.05668035277919048
2018-06-01,-0.023449580386414197,0.10573920049934982,-0.07663621205665927,-0.12897279730081745
2018-07-01,-0.024902906838563426,0.07820308020156697,0.001902602692125832,-0.12731557860004716
2018-08-01,-0.050415707708504384,0.02384470885971579,-0.052068704763962415,-0.17275512609003063
2018-09-01,0.0032853784832033153,0.027208426236345007,0.031297046033888165,-0.14686480518997236
2018-10-01,-0.056979944511295726,-0.03132185289213729,-0.08288793379201242,-0.21757941873302156
2018-11-01,0.0461041447743788,0.013338224641900709,0.005983220348656504,-0.21289802398997737
2018-12-01,-0.02101575878491626,-0.0079578470547087,-0.051073379372078564,-0.2530979818152499
2019-01-01,0.05463915880381423,0.04624650168014677,0.06343480643714816,-0.20571839686418492
2019-02-01,0.27321167055882783,0.3320932562205092,0.14609433319902676,-0.08967835568180405
2019-03-01,0.06710408327608633,0.4214821530174433,0.05531467254596856,-0.03932421201483538
2019-04-01,0.0027170066298586094,0.4253443294514172,0.010554341819158486,-0.029184911371050504
2019-05-01,-0.013260022707484349,0.4064442312769072,-0.0724264734067428,-0.09949762457049982
2019-06-01,0.03074652667936214,0.44968750635689747,0.05394251458073329,-0.05092226205390904
2019-07-01,0.03759490644033087,0.5041883725261016,0.002553854438138936,-0.04849845566071653
2019-08-01,-0.003963764588774066,0.498226123920237,-0.009326373534687793,-0.057372514482056935
2019-09-01,-0.02013127093747417,0.468064927893997,0.00393200318981779,-0.053666100202190425
2019-10-01,0.01810656676770904,0.4946465435302414,0.018932869842418265,-0.035749283649850416
2019-11-01,-0.0058408026986756425,0.48591660796522373,-0.01494307583456611,-0.05015815522780542
2019-12-01,0.07886679253914156,0.6031060848160819,0.0699746909501211,0.016306734311621884
2020-01-01,-0.049621384900679036,0.5235577407448024,-0.02262374956671176,-0.00668593472840695
2020-02-01,0.019546591555789694,0.5533381016148029,-0.015946951722070946,-0.022526266172147036
2020-03-01,0.009244238397699462,0.5676975293383599,-0.06443826854989154,-0.08551298113301142
2020-04-01,0.04729279460641415,0.6418383265983418,0.06142435488421549,-0.029341205949117266
2020-05-01,-0.008341409936160605,0.6281430800672851,-0.011644490336299773,-0.04064403289628715
2020-06-01,-0.05647851828944572,0.5361879713418705,0.07678781076901586,0.03302281156579889
